SELECT DISTINCT `--table-size`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--threads` = '1'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
200000	20971520	2.91
400000	20971520	3.22
600000	20971520	3.31
10	5242880	1.41
800000	10485760	3.79
400000	10485760	3.62
600000	5242880	3.73
400000	5242880	3.81
400000	104857600	2.26
1000000	20971520	3.45
400000	52428800	2.56
800000	20971520	3.39
10	104857600	1.37
1000000	104857600	2.68
40000	52428800	1.85
800000	104857600	2.56
40000	10485760	2.68
200000	52428800	2.24
600000	104857600	2.47
600000	10485760	3.72
10	10485760	1.4
800000	52428800	2.87
40000	5242880	2.88
1000000	10485760	3.85
200000	104857600	2.01
10	20971520	1.39
200000	10485760	3.31
40000	20971520	2.29
1000000	52428800	2.97
10	52428800	1.37
1000000	5242880	3.9
40000	104857600	1.83
600000	52428800	2.75
800000	5242880	3.72
200000	5242880	3.44
