SELECT DISTINCT `--table-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-buffer-pool-size` = '20971520' AND `--threads` = '100'  AND `--point-selects`=1 AND `--index-updates`=1 AND `--delete-inserts`=1
`--table-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
600000	6291456	142.78
400000	524288	107.38
800000	524288	153.36
600000	262144	133.51
200000	6291456	82.92
400000	3145728	105.77
10	1048576	190.93
1000000	6291456	170.21
200000	1048576	86.06
600000	524288	129.16
600000	3145728	135.2
10	524288	192.41
40000	262144	68.61
200000	3145728	85.71
10	6291456	193.03
600000	1048576	131.71
200000	2097152	83.49
1000000	2097152	173.09
400000	6291456	107.77
40000	3145728	70.69
800000	262144	154.6
1000000	1048576	176.01
600000	2097152	131.92
200000	262144	85.86
1000000	3145728	177.65
800000	1048576	153.82
800000	6291456	160.62
1000000	524288	177.64
1000000	262144	182.31
10	3145728	194.86
400000	262144	104.65
40000	1048576	68.3
200000	524288	83.75
10	2097152	199.06
800000	3145728	152.66
10	262144	193.03
40000	6291456	73.36
40000	524288	68.16
400000	2097152	104.85
400000	1048576	105.37
800000	2097152	160.5
40000	2097152	71.29
