SELECT DISTINCT `--innodb-buffer-pool-size`, `--innodb-log-buffer-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--threads` = '50' AND `--table-size` = '1000000'  AND `--point-selects`=100 AND `--index-updates`=100 AND `--delete-inserts`=100
`--innodb-buffer-pool-size`	`--innodb-log-buffer-size`	`Avg_Latency(ms)`
10485760	3145728	6086.86
104857600	262144	3731.47
10485760	1048576	5337.38
104857600	1048576	3581.94
52428800	6291456	4340.11
5242880	524288	6120.12
104857600	3145728	4069.21
5242880	1048576	5725.22
104857600	524288	3510.98
20971520	2097152	5164.68
52428800	1048576	4330.85
104857600	2097152	3715.26
10485760	524288	6167.64
10485760	262144	6169.05
20971520	6291456	5345.08
104857600	6291456	3739.0
10485760	2097152	5739.45
5242880	262144	5568.17
5242880	3145728	6349.79
5242880	6291456	5384.95
52428800	262144	4008.45
52428800	524288	5614.75
20971520	524288	5014.25
52428800	2097152	4822.66
20971520	262144	5478.42
5242880	2097152	6158.84
20971520	1048576	4980.33
20971520	3145728	5152.94
10485760	6291456	4906.95
52428800	3145728	5207.1
