SELECT DISTINCT `--table-size`, `--threads`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '262144' AND `--innodb-buffer-pool-size` = '20971520'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--table-size`	`--threads`	`Avg_Latency(ms)`
400000	1	57.67
600000	100	4551.8
10	50	858.9
200000	50	2332.49
1000000	1	72.01
800000	1	70.23
1000000	50	1978.73
600000	50	1970.33
800000	50	2080.6
1000000	100	3692.85
600000	1	64.02
40000	50	1567.58
40000	100	4586.07
40000	1	26.82
200000	100	5762.23
800000	100	4614.0
400000	100	4928.07
10	100	2547.59
200000	1	45.47
10	1	18.41
400000	50	2290.67
