SELECT DISTINCT `--threads`, `--innodb-buffer-pool-size`, `Avg_Latency(ms)` FROM mariadb_perf_test.oltp_read_write_test_5 WHERE 1=1 AND `--innodb-log-buffer-size` = '524288' AND `--table-size` = '800000'  AND `--point-selects`=50 AND `--index-updates`=50 AND `--delete-inserts`=50
`--threads`	`--innodb-buffer-pool-size`	`Avg_Latency(ms)`
1	20971520	69.45
1	104857600	44.7
100	104857600	3043.1
1	52428800	55.49
50	52428800	1386.89
100	10485760	4522.04
50	20971520	1831.27
100	52428800	3448.91
50	5242880	2488.92
50	104857600	1268.99
1	10485760	71.62
1	5242880	82.0
100	5242880	5346.59
100	20971520	4252.64
50	10485760	2061.76
